Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Innovaccer,1.3,February 2021[392],Health care,India /  US,"Abhinav Shashank, Kanav Hasija, Sandeep Gupta"
Knotel,1.3,August 2019[393],,US,
Konfio,1.3,September 2021[394],Financial services,Mexico,
Kr Space,1.3,June 2018[129],,China,
Sonder,1.3,July 2020[395],Hospitality,US,
Yugabyte,1.3,October 2021[396],Database management,US,
Incode,1.25,December 2021[397],Technology,Mexico,
Applied Intuition,1.25,October 2020[398],Software,US,
BigID,1.25,May 2018[399],Cybersecurity,Israel /  US,
Deel,1.25,April 2021[400],,Israel /  US,
ezCater,1.25,April 2019[401],,US,"Stefania Mallett, Briscoe Rodgers"
Iwjw,1.25,November 2015[129],,China,
Marshmallow,1.25,September 2021[402],Insurance,UK,
Rec Room Inc,1.25,March 2021[403],Video games,US,
Nexii,1.23,September 2021[404],Building services engineering,Canada,
Spiber,1.22,September 2021[405],Biotechnology,Japan,
Mamaearth,1.2,January 2022[406],Personal Care,India,Varun Alagh and Ghazal Alagh
Merama,1.2,December 2021[407],E-commerce,Mexico
Jokr,1.2,June 2021[408],Transportation,USA,
Ada,1.2,May 2021[409],Software,Canada,
Alation,1.2,June 2021[410],Software,US,"Satyen Sangani, Aaron Kalb, Feng Niu, and Venky Ganti"
Apotea,1.2,April 2021[302],E-commerce,Sweden,
Axonius,1.2,March 2021[411],Cybersecurity,Israel /  US,
Byton,1.2,June 2018[129],Automotive,China,
CarDekho,1.2,October 2021[412],Marketplace,India,
Copado,1.2,September 2021,Software,Spain /  US,
Dada,1.2,August 2018[129],,China,
Dental Monitoring,1.2,October 2021[413],Healthcare,France,
Deutsche Health,1.2,August 2020[129],,Germany /  Russia,
Droom,1.2,July 2021[414],Marketplace,India,Sandeep Aggarwal
Fair,1.2,December 2018[415],,US,
FirstCry,1.2,February 2020[416],E-commerce,India,
FloQast,1.2,July 2021[417],Software,US,
Forto,1.2,June 2021[418],Software,Germany,
Glossier,1.2,March 2019[419],,US,
Intercom,1.2,March 2018[420],Software,US,
Kyriba,1.2,October 2021[421],Cloud software,France,
MindTickle,1.2,August 2021[422],Software as a service,India,
MyGlamm,1.2,November 2021[423],E-commerce,India,
